Unnamed: 0,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
301,9,9771,2,4,4,2,10.0,16.0,2020-04-29 09:15:00
302,9,9772,2,0,0,2,6.0,7.0,2020-04-29 09:15:00
303,9,9773,2,3,3,2,3.0,21.0,2020-04-29 09:15:00
304,9,9774,4,1,1,4,21.0,46.0,2020-04-29 09:15:00
305,9,9775,2,2,1,2,6.0,14.0,2020-04-29 09:15:00
306,9,9776,2,1,1,2,9.0,9.0,2020-04-29 09:15:00
307,9,9777,2,3,3,2,10.0,11.0,2020-04-29 09:15:00
308,9,9778,2,2,2,2,9.0,14.0,2020-04-29 09:15:00
309,9,9779,3,2,2,3,8.0,23.0,2020-04-29 09:15:00
310,9,9780,1,3,2,1,24.0,12.0,2020-04-29 09:15:00
311,10,10041,7,16,10,7,148.0,125.0,2020-04-29 09:15:00
312,10,10042,2,1,1,2,18.0,6.0,2020-04-29 09:15:00
313,10,10043,3,2,1,3,23.0,21.0,2020-04-29 09:15:00
314,10,10044,4,4,3,3,25.0,43.0,2020-04-29 09:15:00
315,10,10045,11,26,14,2,127.0,144.0,2020-04-29 09:15:00
316,10,10046,1,0,0,1,6.0,10.0,2020-04-29 09:15:00
317,11,11000,60,131,105,42,473.0,1052.0,2020-04-29 09:15:00
318,12,12051,3,4,1,3,26.0,59.0,2020-04-29 09:15:00
319,12,12052,2,0,0,2,48.0,53.0,2020-04-29 09:15:00
320,12,12053,1,0,0,1,6.0,9.0,2020-04-29 09:15:00
321,12,12054,4,6,4,4,38.0,36.0,2020-04-29 09:15:00
322,12,12060,2,11,4,2,51.0,61.0,2020-04-29 09:15:00
323,12,12061,5,0,0,5,17.0,54.0,2020-04-29 09:15:00
324,12,12062,3,0,0,3,26.0,19.0,2020-04-29 09:15:00
325,12,12063,2,2,2,2,14.0,12.0,2020-04-29 09:15:00
326,12,12064,3,3,2,3,26.0,19.0,2020-04-29 09:15:00
327,12,12065,5,1,1,5,37.0,22.0,2020-04-29 09:15:00
328,12,12066,1,2,1,1,13.0,27.0,2020-04-29 09:15:00
329,12,12067,4,3,3,4,45.0,69.0,2020-04-29 09:15:00
330,12,12068,3,5,0,3,21.0,20.0,2020-04-29 09:15:00
331,12,12069,3,1,0,3,43.0,58.0,2020-04-29 09:15:00
332,12,12070,2,0,0,2,17.0,8.0,2020-04-29 09:15:00
333,12,12071,3,0,0,3,16.0,14.0,2020-04-29 09:15:00
334,12,12072,2,0,0,2,12.0,10.0,2020-04-29 09:15:00
335,12,12073,4,1,1,4,16.0,25.0,2020-04-29 09:15:00
336,13,13003,2,0,0,2,37.0,82.0,2020-04-29 09:15:00
337,13,13004,1,1,1,1,19.0,45.0,2020-04-29 09:15:00
